ResponseId,Dur,Age,Country,Gender,Socialmedia,Selfietaking,StimGender,Tilt,Distance,Eyes,Boring,Funny,Ironic,Serious,Ugly
R_1CguUOhL7Dy9bYp,417,18,England,Female,"Facebook,Instagram,Snapchat,Whatsapp",Once a week,Male,Level,Near,Side,2,4,2,2,4
R_1CguUOhL7Dy9bYp,417,18,England,Female,"Facebook,Instagram,Snapchat,Whatsapp",Once a week,Male,Level,Far,Direct,3,3,3,3,3
R_1CguUOhL7Dy9bYp,417,18,England,Female,"Facebook,Instagram,Snapchat,Whatsapp",Once a week,Male,Tilted,Far,Side,2,4,2,2,4
R_1CguUOhL7Dy9bYp,417,18,England,Female,"Facebook,Instagram,Snapchat,Whatsapp",Once a week,Male,Tilted,Far,Direct,2,4,2,2,4
R_1dNdwKIhC7Fxjmw,383,27,United States,Male,"Facebook,Whatsapp",Less than once a week,Female,Tilted,Near,Direct,4,2,3,4,2
R_1dNdwKIhC7Fxjmw,383,27,United States,Male,"Facebook,Whatsapp",Less than once a week,Female,Tilted,Near,Side,4,2,2,4,2
R_1dNdwKIhC7Fxjmw,383,27,United States,Male,"Facebook,Whatsapp",Less than once a week,Female,Level,Near,Side,3,2,3,4,1
R_1dNdwKIhC7Fxjmw,383,27,United States,Male,"Facebook,Whatsapp",Less than once a week,Female,Level,Near,Direct,4,1,2,2,1
R_1dNdwKIhC7Fxjmw,383,27,United States,Male,"Facebook,Whatsapp",Less than once a week,Female,Tilted,Far,Direct,4,1,2,4,1
R_1dNdwKIhC7Fxjmw,383,27,United States,Male,"Facebook,Whatsapp",Less than once a week,Female,Tilted,Far,Side,4,2,2,3,2
R_1dNdwKIhC7Fxjmw,383,27,United States,Male,"Facebook,Whatsapp",Less than once a week,Female,Level,Far,Direct,2,1,2,3,1
R_1dNdwKIhC7Fxjmw,383,27,United States,Male,"Facebook,Whatsapp",Less than once a week,Female,Level,Far,Side,3,1,2,3,1
R_1dNdwKIhC7Fxjmw,383,27,United States,Male,"Facebook,Whatsapp",Less than once a week,Male,Tilted,Near,Direct,2,4,3,1,1
R_1dNdwKIhC7Fxjmw,383,27,United States,Male,"Facebook,Whatsapp",Less than once a week,Male,Tilted,Near,Side,1,4,2,2,1
R_1dNdwKIhC7Fxjmw,383,27,United States,Male,"Facebook,Whatsapp",Less than once a week,Male,Level,Near,Direct,1,2,2,2,1
R_1dNdwKIhC7Fxjmw,383,27,United States,Male,"Facebook,Whatsapp",Less than once a week,Male,Level,Far,Side,2,1,3,4,1
R_1dNdwKIhC7Fxjmw,383,27,United States,Male,"Facebook,Whatsapp",Less than once a week,Male,Level,Near,Side,2,3,3,2,1
R_1dNdwKIhC7Fxjmw,383,27,United States,Male,"Facebook,Whatsapp",Less than once a week,Male,Level,Far,Direct,2,2,3,3,1
R_1dNdwKIhC7Fxjmw,383,27,United States,Male,"Facebook,Whatsapp",Less than once a week,Male,Tilted,Far,Side,2,1,2,2,1
R_1dNdwKIhC7Fxjmw,383,27,United States,Male,"Facebook,Whatsapp",Less than once a week,Male,Tilted,Far,Direct,1,2,2,3,1
R_1E1ex0ct9qgnoKc,380,20,UK,Female,"Snapchat,Whatsapp",Less than once a week,Female,Tilted,Near,Direct,4,1,1,3,1
R_1E1ex0ct9qgnoKc,380,20,UK,Female,"Snapchat,Whatsapp",Less than once a week,Female,Tilted,Near,Side,3,3,3,4,4
R_1E1ex0ct9qgnoKc,380,20,UK,Female,"Snapchat,Whatsapp",Less than once a week,Female,Level,Near,Side,3,3,3,3,3
R_1E1ex0ct9qgnoKc,380,20,UK,Female,"Snapchat,Whatsapp",Less than once a week,Female,Level,Near,Direct,5,2,2,3,2
R_1E1ex0ct9qgnoKc,380,20,UK,Female,"Snapchat,Whatsapp",Less than once a week,Female,Tilted,Far,Direct,3,3,3,3,3
R_1E1ex0ct9qgnoKc,380,20,UK,Female,"Snapchat,Whatsapp",Less than once a week,Female,Tilted,Far,Side,4,1,1,1,1
R_1E1ex0ct9qgnoKc,380,20,UK,Female,"Snapchat,Whatsapp",Less than once a week,Female,Level,Far,Direct,3,2,1,3,1
R_1E1ex0ct9qgnoKc,380,20,UK,Female,"Snapchat,Whatsapp",Less than once a week,Female,Level,Far,Side,2,2,2,2,1
R_1E1ex0ct9qgnoKc,380,20,UK,Female,"Snapchat,Whatsapp",Less than once a week,Male,Tilted,Near,Direct,1,5,2,2,4
R_1E1ex0ct9qgnoKc,380,20,UK,Female,"Snapchat,Whatsapp",Less than once a week,Male,Tilted,Near,Side,2,4,3,2,5
R_1E1ex0ct9qgnoKc,380,20,UK,Female,"Snapchat,Whatsapp",Less than once a week,Male,Level,Near,Side,3,3,4,4,3
R_1E1ex0ct9qgnoKc,380,20,UK,Female,"Snapchat,Whatsapp",Less than once a week,Male,Level,Far,Direct,5,1,3,1,1
R_1E1ex0ct9qgnoKc,380,20,UK,Female,"Snapchat,Whatsapp",Less than once a week,Male,Tilted,Far,Side,3,5,3,2,5
R_1EcHZSIxAECyCbs,532,40,England,Male,"Facebook,Twitter,Instagram,Whatsapp",Less than once a week,Female,Tilted,Near,Direct,4,3,2,4,4
